name,brand,category,price,claim_type,kcal,sugar_g,carb_g,sweeteners(쉼표구분),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
저당 블루베리 생요거트바,라라스윗,간식/디저트,7900,,75,4,17,"에리스리톨,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M74SFTY46400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74SK82FA400.png,https://zerofinder.co.kr/product/0M74SVA7WT400
생우유 모나카 아이스크림,라라스윗,간식/디저트,6580,저당류,120,4,22,"알룰로스,에리스리톨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M74S2CCSA400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74S33236400.png,https://zerofinder.co.kr/product/0M74SBBZGJ400
초콜릿 모나카 아이스밀크,라라스윗,간식/디저트,7520,저당류,100,3,19,"에리스리톨,알룰로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M74R0D1HT400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74R24PE6400.png,https://zerofinder.co.kr/product/0M74R92VN2400
말차 아이스밀크,라라스윗,간식/디저트,9440,,70,6,15,"알룰로스,에리스리톨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M74QD4PTP400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74QEH05A400.png,https://zerofinder.co.kr/product/0M74QR4DJY400
바닐라빈 아이스밀크,라라스윗,간식/디저트,6320,저당류,75,5,13,"알룰로스,수크랄로스,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M74PN7NX6400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74PNZV32400.png,https://zerofinder.co.kr/product/0M74Q5GXEY400
생우유 아이스밀크,라라스윗,간식/디저트,6320,,70,6,13,"에리스리톨,알룰로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M74P2YZZY400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74P5RVQE400.png,https://zerofinder.co.kr/product/0M74PC93CP400
저당 쫀득옥수수 듬뿍바,라라스윗,간식/디저트,9400,저당류,85,3,19,"에리스리톨,알룰로스,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M74N10NGY400.png,https://zerofinder.co.kr/public/nutritionfacts/0M74N28EJ2400.png,https://zerofinder.co.kr/product/0M74NP3D36400
초콜릿 아이스밀크,라라스윗,간식/디저트,,저당류,70,4,14.5,"효소처리스테비아,알룰로스",,50,https://zerofinder.co.kr/public/products/original/0M6FYDVHKNM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FYEREJXM00.png,https://zerofinder.co.kr/product/0M6FYSQPKXM00
저당 멜론바,라라스윗,간식/디저트,,저당류,100,3,16,"알룰로스,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M6FXJ98XDM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FXK4YHHM00.png,https://zerofinder.co.kr/product/0M6FXZEF61M00
저당 쿠키앤크림 초코바,라라스윗,간식/디저트,,저당류,145,1,21,"에리스리톨,알룰로스,말티톨",,50,https://zerofinder.co.kr/public/products/original/0M6FWRNWW9M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FWSWZRNM00.png,https://zerofinder.co.kr/product/0M6FX5CF7DM00
저당 복숭아 생요거트바,라라스윗,간식/디저트,,저당류,80,3,17,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M6FW21KJHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FW2WAQXM00.png,https://zerofinder.co.kr/product/0M6FWC2QEXM00
저당 딸기 생요거트바,라라스윗,간식/디저트,,저당류,80,3,17,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M6FVBD2G9M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FVCA2S5M00.png,https://zerofinder.co.kr/product/0M6FVK22PSM00
저당 초콜릿 초코바,라라스윗,간식/디저트,,저당류,150,2,18.5,"알룰로스,에리스리톨",,50,https://zerofinder.co.kr/public/products/original/0M6FTKCDJHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6FTM6BTHM00.png,https://zerofinder.co.kr/product/0M6FTVSNCSM00
제로슈거 파비플로라 알파CD 보라워터,삼양,음료,,무당류,12,0,8,스테비올 배당체,,50,https://zerofinder.co.kr/public/products/original/0M6BDJZMQXM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6BDQFRD9M00.png,https://zerofinder.co.kr/product/0PCNV3FZCJ567
