name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
왓더파머스 제로 두부과자,농업회사법인 담양한과 명진식품,간식/디저트,12100,estimated,무당류,245,0,23,5,15,190,45,g,,,,19,https://s3.zerofinder.co.kr/public/products/original/0M6B89TXGSM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B8C5J1XM00.png,https://zerofinder.co.kr/product/0PCNV3FZAX19B
제로 오렌지망고,젤리블리,간식/디저트,11300,estimated,무당류,0,0,9,0,0,40,60,g,"에리스리톨,수크랄로스,효소처리스테비아","에리스리톨:8.67,수크랄로스:0,효소처리스테비아:0",,6,https://s3.zerofinder.co.kr/public/products/original/0M6B7BZJK9M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B7E85JNM00.png,https://zerofinder.co.kr/product/0PCNV3FZB2CBD
납작복숭아 제로,젤리블리,간식/디저트,18700,estimated,무당류,4,0,9.8,0,0,45,60,g,"에리스리톨,수크랄로스,효소처리스테비아","에리스리톨:8.72,수크랄로스:0,효소처리스테비아:0",,19,https://s3.zerofinder.co.kr/public/products/original/0M6B6JJ0PHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B6HSFNHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBFBAK
그릭슈바인 제로닭 오리지널,삼립,육가공품,75930,danawa,무당류,177,0,1,14,13,480,80,g,효소처리스테비아,효소처리스테비아:0,,5,https://s3.zerofinder.co.kr/public/products/original/0M6B5S86F5M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B5T0V3XM00.png,https://zerofinder.co.kr/product/0PCNV3FZBPHAZ
불가리스 유당 제로 복숭아,남양유업 세종공장,유제품,9600,estimated,,60,4.9,8.4,2.8,1.6,40,80,g,,,,45,https://s3.zerofinder.co.kr/public/products/original/0M6B1AECRSM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B1BGZYDM00.png,https://zerofinder.co.kr/product/0PCNV3FZAVC2V
기름제로 케어원 콜라겐 팝콘,케어원,주식/면류,10500,danawa,무당류,110,0,27,1,0.8,66,30,g,"스테비아,효소처리스테비아,자일리톨","스테비아:0,효소처리스테비아:0,자일리톨:0",,9,https://s3.zerofinder.co.kr/public/products/original/0M6B0AK7ANM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B0BMCW1M00.png,https://zerofinder.co.kr/product/0PCNV3FZAS8KB
제로당 소스퐁닭 스리라차마요,아임닭,육가공품,27100,estimated,무당류,115,0,3,17,3.7,460,100,g,"D-소비톨액,알룰로스,효소처리스테비아","D-소비톨액:0,알룰로스:0,효소처리스테비아:0",,60,https://s3.zerofinder.co.kr/public/products/original/0M6AZQJ2RHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6AZ75X41M00.png,https://zerofinder.co.kr/product/0PCNV3FZANNPA
그릭슈바인 제로닭 블랙페퍼,삼립,육가공품,17700,estimated,무당류,175,0,0.5,14,13,500,80,g,효소처리스테비아,효소처리스테비아:0,,37,https://s3.zerofinder.co.kr/public/products/original/0M6AY7JVV9M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6AXVZ7G5M00.png,https://zerofinder.co.kr/product/0PCNV3FZAJJ1Q
캐치!티니핑 제로 애플망고맛,웅진식품,음료,17900,estimated,무당류,0,0,2.5,0,0,10,200,mL,"에리스리톨,수크랄로스,스테비올 배당체,아라비아검","에리스리톨:0,수크랄로스:0,스테비올 배당체:0,아라비아검:0",,47,https://s3.zerofinder.co.kr/public/products/original/0M6AREREKDM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6ARG6HW5M00.png,https://zerofinder.co.kr/product/0PCNV3FZAJ42F
제로 단호박 단백질 설기떡,별미힘떡,간식/디저트,51200,danawa,저당류,188,1,32,10,2.4,246,85,g,"에리스리톨,스테비아","에리스리톨:0,스테비아:0",,39,https://s3.zerofinder.co.kr/public/products/original/0M6AQG8661M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6AQNJ76NM00.png,https://zerofinder.co.kr/product/0PCNV3FZAHW5T
샤인머스켓 제로슈가,젤리블리,간식/디저트,12300,estimated,무당류,0,0,9,0,0,40,60,g,"에리스리톨,효소처리스테비아,수크랄로스","에리스리톨:0,효소처리스테비아:0,수크랄로스:0",,41,https://s3.zerofinder.co.kr/public/products/original/0M6AP3MFVXM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6AP4MTEDM00.png,https://zerofinder.co.kr/product/0PCNV3FZAH8NY
제로슈거 하이진저 레몬생강청,안동농협생강한약재유통센터,음료,24100,estimated,무당류,25,0,196,7,0.8,11,100,mL,"말토덱스트린,수크랄로스,아세설팜칼륨","말토덱스트린:0,수크랄로스:0,아세설팜칼륨:0",,20,https://s3.zerofinder.co.kr/public/products/original/0M6783A06NM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M678AGZMDM00.png,https://zerofinder.co.kr/product/0PCNV3FZA826A
팅글닥터구미젤리 제로슈가,에스디푸드,간식/디저트,21400,estimated,무당류,110,0,32,3,0,15,42,g,"말티톨,효소처리스테비아","말티톨:0,효소처리스테비아:0",,56,https://s3.zerofinder.co.kr/public/products/original/0M676WBXQHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M676V0BKXM00.png,https://zerofinder.co.kr/product/0PCNV3FZA6GPA
아사삭 당제로 콜라향아이스,스위트코리아,간식/디저트,16100,estimated,무당류,7,0,9.5,0.04,0.12,38,100,g,"에리스리톨,수크랄로스","에리스리톨:0,수크랄로스:0",,11,https://s3.zerofinder.co.kr/public/products/original/0M675YXF7SM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M675ZMPSSM00.png,https://zerofinder.co.kr/product/0PCNV3FZA6BPY
제로슈가 아쌈블렌드 밀크티 베이스,티하우스청담,음료,15400,estimated,무당류,0,0,12,0,0,30,100,g,"알룰로스,효소처리스테비아","알룰로스:0,효소처리스테비아:0",,32,https://s3.zerofinder.co.kr/public/products/original/0M66T83TADM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M66TCX9JDM00.png,https://zerofinder.co.kr/product/0PCNV3FZA2X1Q
그릭슈바인 제로닭 닭가슴살볼 마늘간장,삼립,육가공품,18100,estimated,저당류,226,1,11,14,14,970,120,g,"알룰로스,효소처리스테비아,L-글루탐산나트륨","알룰로스:0,효소처리스테비아:0,L-글루탐산나트륨:0",,31,https://s3.zerofinder.co.kr/public/products/original/0M66RDHNZHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M66RG3KQSM00.png,https://zerofinder.co.kr/product/0PCNV3FZA0JQP
일화차시 제로 허니자몽블랙티,삼양,음료,24540,danawa,저당류,5,1,1,0,0,20,100,g,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,51,https://s3.zerofinder.co.kr/public/products/original/0M66Q1KCTNM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M66Q4W979M00.png,https://zerofinder.co.kr/product/0PCNV3FZA03KE
제로 떡볶이 로제,닥터로빈,즉석식품,35660,danawa,무당류,160,0,37,1,3.2,246,100,g,"에리스리톨,알룰로스","에리스리톨:0,알룰로스:0",,46,https://s3.zerofinder.co.kr/public/products/original/0M66P7KYHSM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M66P9NV0SM00.png,https://zerofinder.co.kr/product/0PCNV3FZ9YWJW
김대감 제로슈가 스틱김자반,해담솔,수산가공품,28400,estimated,무당류,650,0.12,25.91,13.4,56.07,737,100,g,"에리스리톨,효소처리스테비아","에리스리톨:0,효소처리스테비아:0",,11,https://s3.zerofinder.co.kr/public/products/original/0M612BE0XZC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M611D5F6ZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9XBFP
제로 아이스티 화이트피치,던킨도너츠,음료,14700,estimated,무당류,1,0,0.2,0,0,1,100,g,수크랄로스,수크랄로스:0,,51,https://s3.zerofinder.co.kr/public/products/original/0M60ZA3K6VC00.png,,https://zerofinder.co.kr/product/0PCNV3FZ9VVHQ
일화차시 유자민트티 제로,일화,음료,10120,danawa,무당류,1,0.1,0.21,0.01,0.02,5,100,mL,"수크랄로스,아세설팜칼륨,알룰로스","수크랄로스:0,아세설팜칼륨:0,알룰로스:0",,60,https://s3.zerofinder.co.kr/public/products/original/0M60YH9QRQC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60YKB5HVC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9R4PD
왓더파머스 제로 옥수수 콘칩,푸디스,간식/디저트,12000,estimated,무당류,95,0,21,2,0.5,25,25,g,,,,17,https://s3.zerofinder.co.kr/public/products/original/0M60YCHFYVC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60XKE2CZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MZSY
데일리구미 비타민C 제로슈가,서주2공장,건강기능식품,32800,estimated,무당류,421,0,122,11,0.9,8,150,g,"D-소비톨액,말티톨,효소처리스테비아","D-소비톨액:0,말티톨:0,효소처리스테비아:0",,33,https://s3.zerofinder.co.kr/public/products/original/0M60VVPQD3C00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60VYKNN7C00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MHGF
타코 제로슈가 유자 파우더,가배온,음료,16200,estimated,무당류,0,0,20,0,0,0,20,g,에리스리톨,에리스리톨:19,,16,https://s3.zerofinder.co.kr/public/products/original/0M60TWWFN7C00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60TYRVAFC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MHCE
린코어 제로슈거 초코 프로틴,글리시드,기타,23800,estimated,무당류,340,0,23.33,67,2.67,613,100,g,에리스리톨,에리스리톨:0,,20,https://s3.zerofinder.co.kr/public/products/original/0M60S5NSAQC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60S81DMZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9KHK2
zero 레몬 시럽,네이쳐티,간식/디저트,42450,danawa,무당류,16,0,30,0,0,200,100,mL,"에리스리톨,알룰로스","에리스리톨:22,알룰로스:4",,9,https://s3.zerofinder.co.kr/public/products/original/0M60QQ7EGKC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60QSYXEVC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9FDV7
우리차 피치망고 아이스티,송원식품,음료,21700,estimated,무당류,0,0,5,0,0.32,33,5,g,에리스리톨,에리스리톨:4.2,,60,https://s3.zerofinder.co.kr/public/products/original/0M60NP97ZBC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60NRS1ZZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9DEFQ
오롯이 제로슈가 커피믹스,가배온,음료,7900,danawa,무당류,30,0,9,0,1.5,0,11,g,에리스리톨,에리스리톨:4.5,,11,https://s3.zerofinder.co.kr/public/products/original/0M60M2T1MBC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60M51FTBC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9C1TZ
팽이팽이 수박&파인애플 제로,해태,간식/디저트,11200,estimated,무당류,0,0,2,0,0,0,14,mL,알룰로스,알룰로스:2,,39,https://s3.zerofinder.co.kr/public/products/original/0M60DEHF5K000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M60DFXRWF000.png,https://zerofinder.co.kr/product/0PCNV3FZ99E73
제주청귤 아이스티 녹차 제로,티로그,음료,28800,estimated,,1,,,,,25,500,mL,수크랄로스,수크랄로스:0,,10,https://s3.zerofinder.co.kr/public/products/original/0M60D73MAK000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5PHMKHV7000.png,https://zerofinder.co.kr/product/0M5PHWKE1K000
미닛메이드 제로 피치에이드,코카콜라,음료,30500,estimated,무당류,2,0,0.49,0,0,39,100,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,59,https://s3.zerofinder.co.kr/public/products/original/0M5PFAEN4B000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5PF9G5VK000.png,https://zerofinder.co.kr/product/0PCNV3FZ92SVN
프로틴 그래놀라 제로슈거 컵,농업회사법인 두리두리,주식/면류,19700,estimated,무당류,146,0.17,23.8,7,2.8,140,35,g,"말티톨,D-말티톨,알룰로스,아라비아검","말티톨:0,D-말티톨:0,알룰로스:0,아라비아검:0",,31,https://s3.zerofinder.co.kr/public/products/original/0M5PEDXYWZ000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5PEFEBFK000.png,https://zerofinder.co.kr/product/0PCNV3FZ92B4G
프로틴 그래놀라 제로슈거,켈로그,주식/면류,25000,danawa,무당류,419,0.48,63,20.5,10.5,380,100,g,"말티톨,D-말티톨,아라비아검,알룰로스,효소처리스테비아","말티톨:0,D-말티톨:0,아라비아검:0,알룰로스:0,효소처리스테비아:0",,18,https://s3.zerofinder.co.kr/public/products/original/0M5PDBR5FQ000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5PDF4RWB000.png,https://zerofinder.co.kr/product/0PCNV3FZAG05F
애플셔벗에이드 제로,자연은,음료,32490,danawa,무당류,10,0,11.4,0,0.04,25,500,g,"D-소비톨액,아세설팜칼륨,아라비아검,수크랄로스,스테비올 배당체","D-소비톨액:0,아세설팜칼륨:0,아라비아검:0,수크랄로스:0,스테비올 배당체:0",,8,https://s3.zerofinder.co.kr/public/products/original/0M5PB0M1RK000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5PB2ZN0Z000.png,https://zerofinder.co.kr/product/0PCNV3FZ91MGF
일화차시 제로 키위그린티,삼양패키징 광혜원 공장,음료,16600,estimated,무당류,1,0,0.19,0.01,0.03,5,100,g,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,5,https://s3.zerofinder.co.kr/public/products/original/0M5P9434VZ000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5P96PHH7000.png,https://zerofinder.co.kr/product/0PCNV3FZ9067D
링티제로 레몬라임맛,링티,음료,31600,estimated,,,,13,,,130,500,mL,"에리스리톨,수크랄로스","에리스리톨:13,수크랄로스:0",,21,https://s3.zerofinder.co.kr/public/products/original/0M5P8RWGAZ000.png,,https://zerofinder.co.kr/product/0M5P8K5M4V000
링티제로 복숭아맛,링티,음료,30500,estimated,무당류,0,0,2.6,0,0,32,100,g,"에리스리톨,스테비올 배당체","에리스리톨:0,스테비올 배당체:0",,55,https://s3.zerofinder.co.kr/public/products/original/0M5P6C2063000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M5P6F3QD3000.png,https://zerofinder.co.kr/product/0PCNV3FZ8ZZRF
사과좋아! 말랑 스파클링 제로,INOUT,음료,25490,real,무당류,1,0,0.9,0,0,13,100,mL,"알룰로스,스테비올 배당체,수크랄로스","알룰로스:0,스테비올 배당체:0,수크랄로스:0",,34,https://s3.zerofinder.co.kr/public/products/original/0M3C2GKYEC000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M3C2K2Z40000.png,https://zerofinder.co.kr/product/0PCNV3FZ8N8S9
마이구미 포도 ZERO% 설탕제로,오리온,간식/디저트,68390,danawa,무당류,124,0,40,3,0,15,54,g,"말티톨,아세설팜칼륨,수크랄로스","말티톨:0,아세설팜칼륨:0,수크랄로스:0",,49,https://s3.zerofinder.co.kr/public/products/original/0M3C1JSGBM000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M3C1MW1BC000.png,https://zerofinder.co.kr/product/0PCNV3FZ8H323
제로 미니바이트 밀크&초코,롯데웰푸,간식/디저트,18900,real,무당류,68,0,8,1,4.4,20,38,mL,"D-말티톨,수크랄로스","D-말티톨:0,수크랄로스:0",,51,https://s3.zerofinder.co.kr/public/products/original/0M3C0PP2BR000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M3C0S0CE0000.png,https://zerofinder.co.kr/product/0PCNV3FZ8GCG3
나랑드 사이다 제로,동아오츠카,음료,11400,real,,,,,,,60,345,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,55,https://s3.zerofinder.co.kr/public/products/original/0M2E9R3YJYW00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M2E9PS3DEW00.png,https://zerofinder.co.kr/product/0M2EA0YEKAW00
불가리스 유당 제로 플레인,남양유업 세종공장,유제품,15300,estimated,,88,13.13,13.75,3.25,2,50,100,g,,,,50,https://s3.zerofinder.co.kr/public/products/original/0M1TY9VTGTC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TYB7V8YC00.png,https://zerofinder.co.kr/product/0PCNV3FZ8AXPE
더캐럿 제로슈가 에너지 베이스,농업회사법인데이웰,음료,16900,real,무당류,20,0,61,2,0,35,100,g,"알룰로스,효소처리스테비아,수크랄로스","알룰로스:0,효소처리스테비아:0,수크랄로스:0",,36,https://s3.zerofinder.co.kr/public/products/original/0M1TXT1C0AC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TXY1J5TC00.png,https://zerofinder.co.kr/product/0PCNV3FZ89R87
데일리구미 유산균 제로슈가,서주2공장,간식/디저트,16110,real,무당류,339,0,107,12,0,10,150,g,"D-말티톨,D-소비톨액,효소처리스테비아","D-말티톨:0,D-소비톨액:0,효소처리스테비아:0",,14,https://s3.zerofinder.co.kr/public/products/original/0M1TW1CP4PC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TW3SQ0YC00.png,https://zerofinder.co.kr/product/0PCNV3FZ837AY
레인보우 샤베트 스파클링 제로,배스킨라빈스,음료,18454,danawa,무당류,4,0,1,0,0,7,350,mL,"아세설팜칼륨,아스파탐,수크랄로스,D-소비톨액","아세설팜칼륨:0,아스파탐:0,수크랄로스:0,D-소비톨액:0",,18,https://s3.zerofinder.co.kr/public/products/original/0M1TMTB0B2C00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TMVC5TYC00.png,https://zerofinder.co.kr/product/0PCNV3FZ81TQV
아이스가이 제로제로 스포츠,청아냉동식품,간식/디저트,24000,estimated,저당류,0,2,2,0,0,110,200,mL,"알룰로스,수크랄로스,아세설팜칼륨","알룰로스:2,수크랄로스:0,아세설팜칼륨:0",,42,https://s3.zerofinder.co.kr/public/products/original/0M1TM4TZSPC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TM5WZZEC00.png,https://zerofinder.co.kr/product/0PCNV3FZ816X0
레몬셔벗에이드 제로,자연은,음료,14050,real,무당류,10,0,11.6,0,0,25,500,g,"에리스리톨,D-소비톨액,아세설팜칼륨,수크랄로스,스테비올 배당체","에리스리톨:9,D-소비톨액:0,아세설팜칼륨:0,수크랄로스:0,스테비올 배당체:0",,52,https://s3.zerofinder.co.kr/public/products/original/0M1TKEMTRPC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TKFVFAEC00.png,https://zerofinder.co.kr/product/0PCNV3FZ801KE
제로당 현미 쑥 찹쌀떡,곰곰,간식/디저트,38790,danawa,무당류,211,0,46,4.23,1.2,220,100,g,말티톨,말티톨:0,,52,https://s3.zerofinder.co.kr/public/products/original/0M1TJXSK2AC00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TJV6052C00.png,https://zerofinder.co.kr/product/0PCNV3FZ7ZQV1
퓨리타 자두녹차 제로,퓨럽2공장,음료,12150,real,무당류,0,0,11,1,0.8,7,500,mL,"에리스리톨,아세설팜칼륨,수크랄로스","에리스리톨:12,아세설팜칼륨:0,수크랄로스:0",,25,https://s3.zerofinder.co.kr/public/products/original/0M1THZT0E2C00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1TJ109KPC00.png,https://zerofinder.co.kr/product/0PCNV3FZ7WTQD
제로슈거 초코렛타,랩노쉬,간식/디저트,11300,estimated,무당류,350,0,38,4,20,40,76,g,"D-말티톨,효소처리스테비아","D-말티톨:0,효소처리스테비아:0",,42,https://s3.zerofinder.co.kr/public/products/original/0M1GBPG8XA400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1GBQP9PP400.png,https://zerofinder.co.kr/product/0PCNV3FZ7VBHC
제로슈가 참깨누룽지쿠키,도깨비베이킹,간식/디저트,17100,estimated,무당류,342,0,68,9.33,20,276,75,g,"D-말티톨,효소처리스테비아,수크랄로스","D-말티톨:0,효소처리스테비아:0,수크랄로스:0",,59,https://s3.zerofinder.co.kr/public/products/original/0M1GB49S72400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1GB6XBYY400.png,https://zerofinder.co.kr/product/0PCNV3FZ7VATZ
제로 쑥 단백질 영양찰떡,별미힘떡,간식/디저트,16500,real,무당류,215,0,39,9,3.1,200,85,g,"에리스리톨,스테비아","에리스리톨:0,스테비아:0",,38,https://s3.zerofinder.co.kr/public/products/original/0M1G94KVZE400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1G8DCA0J400.png,https://zerofinder.co.kr/product/0PCNV3FZ7JM8A
납작복숭아 아이스티 홍차 제로,티로그,음료,16500,estimated,무당류,0,0,1,0,0,25,500,mL,수크랄로스,수크랄로스:0,,37,https://s3.zerofinder.co.kr/public/products/original/0M1G7DW9GE400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1G7FES56400.png,https://zerofinder.co.kr/product/0PCNV3FZ7AXEX
초록매실 스파클링 제로,웅진식품,음료,15295,danawa,무당류,2,0,6,0,0,35,350,mL,에리스리톨,에리스리톨:5.6,,16,https://s3.zerofinder.co.kr/public/products/original/0M1G285ZAT400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1G1XA9SE400.png,https://zerofinder.co.kr/product/0PCNV3FZ6X2DT
제로 아이스 쿠키&크림바,롯데웰푸드,간식/디저트,35530,danawa,무당류,166,0,16,2,19,80,80,mL,"D-말티톨,수크랄로스","D-말티톨:0,수크랄로스:0",,9,https://s3.zerofinder.co.kr/public/products/original/0M1F9YB742400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F9K8EV2400.png,https://zerofinder.co.kr/product/0PCNV3FZ6VNMW
설탕 없는 제로슈가 돼지불백,아임제로당,육가공품,8910,real,무당류,199,0,6,12,14,317,100,g,이소말트,이소말트:0,,48,https://s3.zerofinder.co.kr/public/products/original/0M1F97ZY46400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M16340YKF800.png,https://zerofinder.co.kr/product/0PCNV3FZ599F3
제로슈가 매콤제육볶음,아임제로당,육가공품,9810,real,무당류,169,0,9,14,11.1,398,100,g,이소말트,이소말트:0,,60,https://s3.zerofinder.co.kr/public/products/original/0M1F9138P2400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F8JRT2A400.png,https://zerofinder.co.kr/product/0PCNV3FZ6TMBK
블렌딩티 유자자몽 제로,이디야,음료,26230,danawa,무당류,6,1,6.6,0,0,35,250,mL,"에리스리톨,수크랄로스","에리스리톨:5,수크랄로스:0",,12,https://s3.zerofinder.co.kr/public/products/original/0M1F7W2K5J400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F7WXBFA400.png,https://zerofinder.co.kr/product/0PCNV3FZ6PMTE
킬로리 제로달콩두유 밀크티,농업회사법인삼광에프앤비,유제품,27170,real,무당류,74,0,20,6,3.1,100,200,mL,"에리스리톨,효소처리스테비아","에리스리톨:13.6,효소처리스테비아:0",,41,https://s3.zerofinder.co.kr/public/products/original/0M1F62R75Y400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F63TA7J400.png,https://zerofinder.co.kr/product/0PCNV3FZ9DH7X
킬로리 제로달콩두유 말차,농업회사법인삼광에프앤비,유제품,11600,estimated,무당류,77,0,22,6,2.7,130,200,mL,"에리스리톨,효소처리스테비아","에리스리톨:14.7,효소처리스테비아:0",,43,https://s3.zerofinder.co.kr/public/products/original/0M1F5MKY4J400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F5QFKXE400.png,https://zerofinder.co.kr/product/0PCNV3FZ9K31R
킬로리 제로달콩두유 플레인,농업회사법인삼광에프앤비,유제품,9200,estimated,무당류,74,0,17,6,2.7,260,200,mL,"에리스리톨,효소처리스테비아","에리스리톨:10.5,효소처리스테비아:0",,10,https://s3.zerofinder.co.kr/public/products/original/0M1F4QDJ9J400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F4SMK5P400.png,https://zerofinder.co.kr/product/0PCNV3FZ9KRKV
킬로리 제로달콩두유 초코,농업회사법인삼광에프앤비,유제품,13700,estimated,저당류,87,1.7,25,6,3.3,180,200,mL,"에리스리톨,효소처리스테비아","에리스리톨:16.8,효소처리스테비아:0",,42,https://s3.zerofinder.co.kr/public/products/original/0M1F42VCBY400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F462402400.png,https://zerofinder.co.kr/product/0PCNV3FZ6KZAW
빅 뽀로로 제로 밀크맛,팔도,음료,14430,real,무당류,11,0,15,1,0,55,360,mL,"에리스리톨,아라비아검,효소처리스테비아,수크랄로스","에리스리톨:11,아라비아검:0,효소처리스테비아:0,수크랄로스:0",,41,https://s3.zerofinder.co.kr/public/products/original/0M1F38A9SY400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F39AB3P400.png,https://zerofinder.co.kr/product/0PCNV3FZ6VJFB
빅 뽀로로 제로 딸기맛,팔도,음료,41350,danawa,무당류,1,0,15,1,0,55,360,mL,"에리스리톨,아라비아검,효소처리스테비아,수크랄로스","에리스리톨:11,아라비아검:0,효소처리스테비아:0,수크랄로스:0",,21,https://s3.zerofinder.co.kr/public/products/original/0M1F2NAJDJ400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1F2PY2DA400.png,https://zerofinder.co.kr/product/0PCNV3FZ6JT3W
제로스콘 흑임자,제로베이커리,간식/디저트,13300,estimated,저당류,234,1,13,6,18,260,100,g,알룰로스,알룰로스:0,,50,https://s3.zerofinder.co.kr/public/products/original/0M1F1BZH5T400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1DGKDFGP400.png,https://zerofinder.co.kr/product/0PCZ4B7GG50E1
제로스콘 크럼블,제로베이커리,간식/디저트,14800,estimated,저당류,279,2,24,8,21,300,65,g,에리스리톨,에리스리톨:0,,21,https://s3.zerofinder.co.kr/public/products/original/0M1F18FQ66400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1DH0SC5E400.png,https://zerofinder.co.kr/product/0PCZ4B7GJ5BHY
티즐 아이스티 제로 딸기,동원시스템즈,음료,20800,estimated,무당류,6,0,9,0,0,25,500,mL,에리스리톨,에리스리톨:7.5,,47,https://s3.zerofinder.co.kr/public/products/original/0M1EZGHSAA400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1EZJ7QCJ400.png,https://zerofinder.co.kr/product/0PCNV3FZ6G5PS
힐링티 제로레몬에이드,에스엠바이오,음료,25400,estimated,무당류,15,0,9,0,0,70,10,g,"에리스리톨,수크랄로스","에리스리톨:5.7,수크랄로스:0",,34,https://s3.zerofinder.co.kr/public/products/original/0M1EY2TS56400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1EYKQ7T6400.png,https://zerofinder.co.kr/product/0PCNV3FZ6G3CJ
