name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
데일리구미 멀티비타민 제로슈가,서주2공장,간식/디저트,19400,estimated,무당류,427,0,123,12,1.2,15.7,150,g,"D-소비톨액,아라비아검,효소처리스테비아","D-소비톨액:0,아라비아검:0,효소처리스테비아:0",,12,https://s3.zerofinder.co.kr/public/products/original/0M7YPD9JNE800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YPFANTE800.png,https://zerofinder.co.kr/product/0PCNV3FZCD6DG
비타민C1000 스파클링 제로,고려은단,음료,24570,danawa,무당류,10,0,12,0,0,75,250,mL,"에리스리톨,효소처리스테비아,수크랄로스,아세설팜칼륨,아라비아검","에리스리톨:9,효소처리스테비아:0,수크랄로스:0,아세설팜칼륨:0,아라비아검:0",,15,https://s3.zerofinder.co.kr/public/products/original/0M7YNCJMCA800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YNERKFY800.png,https://zerofinder.co.kr/product/0PCNV3FZC6439
제로아워 알파시디 레몬수,퓨럽,음료,21900,estimated,무당류,15,0,12,0,0,5,500,mL,"에리스리톨,수크랄로스,스테비올 배당체","에리스리톨:6.95,수크랄로스:0,스테비올 배당체:0",,51,https://s3.zerofinder.co.kr/public/products/original/0M7YKTJBJA800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YKXC4D2800.png,https://zerofinder.co.kr/product/0PCNV3FZBS7F4
세네 에너지 제로슈거 자몽,상일,음료,10000,danawa,무당류,0,0,2.55,1,0,25,250,mL,"에리스리톨,아세설팜칼륨,수크랄로스","에리스리톨:2.5,아세설팜칼륨:0,수크랄로스:0",,21,https://s3.zerofinder.co.kr/public/products/original/0M7YJSD13J800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YJVMR12800.png,https://zerofinder.co.kr/product/0PCNV3FZBPP26
이강베 제로복숭아아이스티,자연농장,음료,31300,estimated,무당류,1,0,0,0,0,1,20,g,알룰로스,알룰로스:2.8,,53,https://s3.zerofinder.co.kr/public/products/original/0M7YHHMGW6800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YHVJ0RE800.png,https://zerofinder.co.kr/product/0PCNV3FZBMDCR
이디야 제로슈가쿠키 스윗오트,더플랜잇,간식/디저트,13000,estimated,무당류,175,0,25,6,7,250,40,g,"D-말티톨,효소처리스테비아,수크랄로스","D-말티톨:0,효소처리스테비아:0,수크랄로스:0",,11,https://s3.zerofinder.co.kr/public/products/original/0M7YG9YXDE800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YGS8EQP800.png,https://zerofinder.co.kr/product/0PCNV3FZBAP3B
포켓몬 애사비 젤리 믹스 제로,에스디푸드,간식/디저트,22600,estimated,무당류,200,0,74,6,0,80,100,g,말티톨,말티톨:0,,24,https://s3.zerofinder.co.kr/public/products/original/0M7YB4EYBY800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7YB5SAFJ800.png,https://zerofinder.co.kr/product/0PCNV3FZB78XB
파리의 이온비타제로 레몬,퓨어플러스,음료,28900,estimated,무당류,1,0,2.4,0,0,34,100,mL,"에리스리톨,수크랄로스","에리스리톨:2.2,수크랄로스:0",,37,https://s3.zerofinder.co.kr/public/products/original/0M7Y99Q0SP800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7Y9C19K6800.png,https://zerofinder.co.kr/product/0PCNV3FZB10RY
제로닭 닭가슴살볼 양념치킨,삼립,육가공품,20500,real,저당류,226,1,11,14,14,970,120,g,"효소처리스테비아,알룰로스","효소처리스테비아:0,알룰로스:0",,43,https://s3.zerofinder.co.kr/public/products/original/0M7Y8G50YT800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7Y8JKBFT800.png,https://zerofinder.co.kr/product/0PCNV3FZAZMER
더 라이트 제로 자몽베이스,서울팩토리,음료,17200,estimated,저당류,25,2,47,0,0,15,100,g,"알룰로스,아라비아검,D-소비톨액,수크랄로스","알룰로스:42,아라비아검:0,D-소비톨액:0,수크랄로스:0",,28,https://s3.zerofinder.co.kr/public/products/original/0M7Y5A5ZV2800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7Y5G6SMY800.png,https://zerofinder.co.kr/product/0PCNV3FZAD7KA
